plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.01692221,0.00003158,0.00325837,0.019475,0.000032,0.003512,41.6875,41.6875,41.546875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00624988,0.00001346,0.00151583,0.007181,0.000013,0.001584,39.015625,39.015625,38.875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00660067,0.00001417,0.0015845,0.007383,0.000014,0.001649,39.15625,39.15625,39.015625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00627467,0.00001358,0.00152671,0.007418,0.000013,0.001594,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00619829,0.00001321,0.00150421,0.006958,0.000014,0.001567,39,39,38.859375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00623487,0.00001221,0.00153558,0.006997,0.000011,0.001599,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00650929,0.00001362,0.00150767,0.007391,0.000013,0.001571,39.546875,39.546875,39.40625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00661504,0.00001346,0.00155875,0.008247,0.000014,0.00163,39.140625,39.140625,39.015625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00646992,0.00001333,0.00158279,0.007265,0.000013,0.001653,39.296875,39.296875,39.15625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00623387,0.00001342,0.00151283,0.006807,0.000013,0.001568,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00626513,0.00001308,0.00153696,0.007063,0.000014,0.001601,41.765625,41.765625,41.625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00639233,0.00001375,0.00158387,0.006943,0.000014,0.001636,39.5625,39.5625,39.421875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00630954,0.00001383,0.00151842,0.00675,0.000014,0.001576,39.078125,39.078125,38.9375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00614467,0.00001325,0.00151329,0.006742,0.000013,0.00158,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00624087,0.00001621,0.00150592,0.006887,0.000017,0.001571,39.296875,39.296875,39.15625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00744308,0.00001413,0.00180433,0.008033,0.000015,0.001957,40.25,40.25,40.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00634492,0.00001346,0.00157121,0.007463,0.000014,0.001628,39.109375,39.109375,38.96875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00632217,0.0000135,0.00152021,0.007154,0.000013,0.001584,39.03125,39.03125,38.890625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006247,0.00001346,0.00155667,0.006781,0.000014,0.001615,39.734375,39.734375,39.59375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00629733,0.00001392,0.00158117,0.007045,0.000015,0.001639,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00628529,0.00001337,0.00152538,0.008023,0.000013,0.001587,40.546875,40.546875,40.40625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00615475,0.00001392,0.00170562,0.006877,0.000014,0.001815,39.0625,39.0625,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00630133,0.00001342,0.00152396,0.006757,0.000014,0.001583,39.203125,39.203125,39.0625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00618938,0.00001412,0.00153792,0.006859,0.000014,0.001609,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00648813,0.00001308,0.00151612,0.007428,0.000014,0.001583,40.1875,40.1875,40.046875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00632437,0.00001367,0.00151912,0.0068,0.000013,0.001581,39.53125,39.53125,39.390625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00622646,0.00001346,0.00152367,0.00676,0.000014,0.001641,39.703125,39.703125,39.5625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00648696,0.00001387,0.00156971,0.007261,0.000014,0.001631,39.078125,39.078125,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00617621,0.000014,0.00151183,0.006604,0.000013,0.001577,38.890625,38.890625,38.75
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00635596,0.00001354,0.00157517,0.006925,0.000013,0.001631,39.234375,39.234375,39.109375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00623279,0.00001354,0.00157837,0.006699,0.000014,0.001642,40.203125,40.203125,40.0625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00645038,0.0000135,0.00158471,0.007128,0.000013,0.001652,39.140625,39.140625,39
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00640229,0.00001354,0.00157433,0.007309,0.000014,0.001637,39.28125,39.28125,39.140625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00609058,0.00001354,0.00151154,0.006727,0.000013,0.001585,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00632237,0.00001371,0.00152008,0.006804,0.000013,0.001587,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00639375,0.00001358,0.00151829,0.008063,0.000013,0.001576,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006361,0.00001388,0.00155525,0.007359,0.000014,0.001582,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00626321,0.00001317,0.00146817,0.007172,0.000014,0.00156,39.03125,39.03125,38.890625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00633433,0.00001325,0.00171204,0.007008,0.000013,0.001807,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00614779,0.000014,0.00150737,0.006706,0.000014,0.001575,39,39,38.859375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00631283,0.00001396,0.00152417,0.006975,0.000014,0.001575,39.046875,39.046875,38.90625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00640871,0.00001358,0.00152362,0.00717,0.000013,0.001596,39.140625,39.140625,39
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00632896,0.00001354,0.00159254,0.006989,0.000013,0.001664,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006359,0.00001354,0.00154671,0.007498,0.000014,0.001599,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00625283,0.00001388,0.00151017,0.006745,0.000014,0.001578,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00617683,0.00001304,0.00149008,0.006858,0.000013,0.001577,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00620817,0.00001371,0.00155858,0.006922,0.000014,0.001614,40.734375,40.734375,40.59375
