plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00629538,0.00001350,0.00170863,0.00689800,0.00001400,0.00164300,40.70312500,40.70312500,40.56250000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00682596,0.00001413,0.00167300,0.00753000,0.00001400,0.00181700,39.53125000,39.53125000,39.39062500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.01043167,0.00001496,0.00256196,0.00850900,0.00001600,0.00229200,39.51562500,39.51562500,39.40625000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00607388,0.00001367,0.00150787,0.00681900,0.00001400,0.00156600,41.17187500,41.17187500,41.03125000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00627112,0.00001371,0.00155358,0.00676500,0.00001400,0.00159100,39.14062500,39.14062500,39.00000000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00630383,0.00001300,0.00156167,0.00706700,0.00001300,0.00161000,39.29687500,39.29687500,39.15625000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00637658,0.00001396,0.00155646,0.00700600,0.00001900,0.00161000,40.32812500,40.32812500,40.18750000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00621483,0.00001367,0.00153304,0.00716100,0.00001800,0.00158000,40.98437500,40.98437500,40.84375000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00630288,0.00001308,0.00158892,0.00715800,0.00001200,0.00163000,39.65625000,39.65625000,39.51562500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00613979,0.00001313,0.00147317,0.00676500,0.00001300,0.00156100,39.98437500,39.98437500,39.84375000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00956821,0.00002075,0.00274458,0.01008500,0.00002000,0.00272000,40.14062500,40.14062500,40.00000000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00626333,0.00001354,0.00159088,0.00687200,0.00001400,0.00166100,40.26562500,40.26562500,40.12500000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00624371,0.00001371,0.00155725,0.00743100,0.00001400,0.00160000,39.14062500,39.14062500,39.01562500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00630146,0.00001387,0.00154492,0.00675700,0.00001500,0.00160900,39.31250000,39.31250000,39.17187500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00602775,0.00001346,0.00149538,0.00684600,0.00002100,0.00155100,39.12500000,39.12500000,38.98437500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00636100,0.00001358,0.00151975,0.00707800,0.00001400,0.00158100,40.93750000,40.93750000,40.79687500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00665379,0.00001379,0.00170100,0.00766300,0.00001400,0.00183300,39.51562500,39.51562500,39.37500000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00627100,0.00001408,0.00151658,0.00706400,0.00001400,0.00157900,39.01562500,39.01562500,38.87500000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00625321,0.00001363,0.00156654,0.00687800,0.00001400,0.00163300,39.32812500,39.32812500,39.20312500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00619933,0.00001325,0.00152617,0.00702200,0.00001700,0.00157900,39.29687500,39.29687500,39.15625000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00637329,0.00001529,0.00151963,0.00684900,0.00001600,0.00158800,40.95312500,40.95312500,40.81250000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00626138,0.00001354,0.00151721,0.00714700,0.00001400,0.00158200,39.42187500,39.42187500,39.28125000
