plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02166219,0.00032912,0.00059971,0.02577389,0.00043908,0.00049410,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02212242,0.00114841,0.00058425,0.02670455,0.00141999,0.00045249,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02235119,0.00119550,0.00070875,0.02491679,0.00141989,0.00072237,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02148968,0.00076371,0.00042044,0.02471442,0.00092792,0.00042114,32.74609375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02038411,0.00061075,0.00041198,0.02476294,0.00077771,0.00041275,32.49218750,32.61718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02147888,0.00067481,0.00060186,0.02502533,0.00094994,0.00048452,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02320257,0.00056614,0.00041939,0.02689749,0.00066853,0.00044184,32.86718750,32.99218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02116474,0.00034627,0.00041143,0.02444382,0.00049711,0.00041188,32.61718750,32.74218750,32.74218750
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02160985,0.00124948,0.00056728,0.02549182,0.00336008,0.00059910,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02111336,0.00030757,0.00056918,0.02467472,0.00040282,0.00045303,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02181142,0.00036325,0.00041220,0.02582089,0.00048248,0.00041285,32.74218750,32.86718750,32.86718750
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02261703,0.00046963,0.00056486,0.02526526,0.00053204,0.00059825,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02154172,0.00053764,0.00061091,0.02470302,0.00069408,0.00053545,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02271160,0.00064906,0.00042461,0.02717934,0.00076940,0.00044522,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02186550,0.00085081,0.00041988,0.02427062,0.00098435,0.00042030,32.73828125,32.73828125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02394242,0.00010943,0.00060115,0.02849298,0.00010890,0.00047863,32.74609375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02157000,0.00079314,0.00046224,0.02441253,0.00095641,0.00050142,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02141262,0.00054530,0.00060430,0.02452288,0.00065820,0.00071036,32.74218750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02016285,0.00079561,0.00041990,0.02407208,0.00092577,0.00044432,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02146530,0.00038103,0.00060725,0.02499536,0.00049483,0.00073455,32.61718750,32.61718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02153183,0.00080457,0.00057922,0.02433701,0.00100659,0.00045841,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02247834,0.00036409,0.00044330,0.02602037,0.00045032,0.00044410,32.74218750,32.86718750,32.86718750
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02138866,0.00012856,0.00041055,0.02509600,0.00012820,0.00041117,32.61718750,32.74218750,32.74218750
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02172721,0.00032222,0.00040214,0.02519880,0.00043802,0.00040283,32.60937500,32.73437500,32.73437500
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02125029,0.00013734,0.00039941,0.02503685,0.00013680,0.00039968,32.86328125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02321982,0.00113487,0.00069270,0.02500889,0.00140243,0.00056372,32.73828125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02185530,0.00122246,0.00043899,0.02649070,0.00137378,0.00043938,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.01980531,0.00141599,0.00045011,0.02367435,0.00373369,0.00047673,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02160012,0.00105805,0.00044699,0.02391636,0.00127256,0.00044701,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02131278,0.00092851,0.00057400,0.02320832,0.00110382,0.00046392,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02165551,0.00039997,0.00042039,0.02454357,0.00051703,0.00044313,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02311195,0.00018996,0.00042421,0.02641374,0.00019369,0.00045036,32.73828125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02153236,0.00032154,0.00048551,0.02385731,0.00040837,0.00051653,32.62109375,32.74609375,32.74609375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02141858,0.00035543,0.00040705,0.02318877,0.00050833,0.00040780,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02195821,0.00039490,0.00122308,0.02503342,0.00053362,0.00146805,32.61718750,32.61718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02324858,0.00012162,0.00041892,0.02546649,0.00012129,0.00041960,32.87109375,32.87109375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02347617,0.00012676,0.00043779,0.03084659,0.00012611,0.00046400,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02437737,0.00033502,0.00042730,0.02778224,0.00045794,0.00042786,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02189568,0.00119613,0.00045120,0.02461204,0.00147625,0.00046861,32.74609375,32.87109375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02334886,0.00037014,0.00040280,0.02619878,0.00050205,0.00040329,32.61718750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02371904,0.00018864,0.00040081,0.02755350,0.00019249,0.00040136,32.86328125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02404380,0.00076416,0.00042557,0.02613178,0.00094098,0.00042624,32.74218750,32.86718750,32.86718750
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02148123,0.00041186,0.00040905,0.02312940,0.00057901,0.00043116,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02147805,0.00042348,0.00058330,0.02340883,0.00051940,0.00045961,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02175324,0.00036440,0.00108364,0.02597274,0.00054138,0.00138607,32.74218750,32.74218750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02202010,0.00100616,0.00041932,0.02652273,0.00115424,0.00041960,32.74218750,32.86718750,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02362490,0.00028340,0.00040761,0.02699437,0.00036208,0.00042414,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02392915,0.00030123,0.00042864,0.02839919,0.00043075,0.00042939,32.74218750,32.86718750,32.86718750
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02193429,0.00031619,0.00042216,0.02648882,0.00042006,0.00044348,32.49609375,32.62109375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02186212,0.00084327,0.00043485,0.02353131,0.00095266,0.00043598,32.73437500,32.85937500,32.85937500
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02142119,0.00050046,0.00046654,0.02439494,0.00068749,0.00049925,32.74218750,32.86718750,0
