plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem_promedio,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.022316537,0.000630664,0.000503325,0.025509118,0.000818732,0.000498559,32.71033654,32.80474213,8.037123033
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,10240,0.022514085,0.000731345,0.000888611,0.025799095,0.000889835,0.000929535,32.75575235,32.90643729,21.72348566
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,102400,0.022648553,0.000752527,0.006809708,0.025675308,0.000635777,0.008168115,32.72618273,33.1758355,34.35514323
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1048576,0.022353481,0.000246675,0.076958095,0.025449462,0.00031077,0.080772023,32.72206358,32.80999461,40.77192888
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,1,1024,0.022488161,0.043760729,0.000393465,0.025724976,0.005561538,0.000394149,32.70786237,32.83020279,32.83020279
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,1,10240,0.022340705,0.044266093,0.000686271,0.025520538,0.005973103,0.000686992,32.71664231,32.95495166,33.05387253
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,1,102400,0.022372057,0.044172178,0.003663687,0.02553101,0.009253448,0.003818267,32.70786066,33.02555116,34.29695527
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,1,1048576,0.022551092,0.044937603,0.034092869,0.025703893,0.046255798,0.03562722,32.68747249,34.69432218,40.70510563
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,2,1024,0.022430946,0.04623611,0.046536631,0.025774964,0.0049224,0.00556231,32.69231592,32.69317209,7.864619007
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,2,10240,0.022602203,0.046279317,0.047867569,0.025805818,0.004979295,0.006389473,32.69924588,32.70185004,16.57128906
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,2,102400,0.022472312,0.046339708,0.054403628,0.025678379,0.005013103,0.013393303,32.67987872,32.68075284,34.34066324
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,2,1048576,0.022311949,0.046372568,0.123784356,0.02547061,0.005004405,0.085492656,32.68300108,32.68300108,40.93553341
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006586548,1.41556E-05,0.001616294,0.007254141,1.50423E-05,0.00164707,39.3868838,39.3868838,39.25121039
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,10240,0.006513398,1.40965E-05,0.001913488,0.007156555,1.45479E-05,0.001967664,39.86900685,39.86900685,39.84482021
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,102400,0.006409388,1.37082E-05,0.00503312,0.007160939,1.41701E-05,0.00508566,39.60693027,39.60693027,40.26190476
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1048576,0.006310066,1.36067E-05,0.038553938,0.007070837,1.42837E-05,0.03880783,39.6995789,39.6995789,56.40602837
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,1,1024,0.006329942,0.002567203,9.49387E-05,0.007081147,0.002677322,9.47133E-05,39.56643357,39.46011801,39.46022727
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,1,10240,0.006282199,0.002629052,0.000242737,0.007009247,0.002858534,0.000243096,39.48876284,39.47816781,39.52001284
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,1,102400,0.006384968,0.003147625,0.002773562,0.007062535,0.003418104,0.002854139,39.3608941,39.79014757,40.08203125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,1,1048576,0.006322352,0.002443908,0.03655742,0.007069441,0.002756062,0.037005897,39.37112069,39.48114224,55.77219828
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,2,1024,0.006333442,0.002461852,0.001212219,0.007083145,0.002495952,0.001431855,39.42424569,39.45948276,39.35894397
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,2,10240,0.006299239,0.002424558,0.001576655,0.007082646,0.002454063,0.001743826,39.50217014,39.5281033,39.57779948
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,2,102400,0.006324449,0.002444335,0.00464244,0.00704345,0.002474255,0.004866154,39.43267617,39.46088507,40.11535235
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,2,1048576,0.006313187,0.002438813,0.037975107,0.007020444,0.002468514,0.038520077,39.47733275,39.50616197,55.4493838
macOS-14.2.1-arm64-arm-64bit,0,1024,0.006559923,1.40181E-05,0.001655351,0.007235238,1.49592E-05,0.001677415,39.83428997,39.83428997,39.70227466
macOS-14.2.1-arm64-arm-64bit,0,10240,0.006606526,1.41315E-05,0.001970977,0.007459973,1.53014E-05,0.002026021,39.94263699,39.94263699,39.90175514
macOS-14.2.1-arm64-arm-64bit,0,102400,0.006417147,1.36834E-05,0.005141933,0.00722139,1.53425E-05,0.005223205,40.02482877,40.02482877,40.71949914
macOS-14.2.1-arm64-arm-64bit,0,1048576,0.006429408,1.42227E-05,0.03957921,0.007204938,1.49931E-05,0.039550194,39.78059896,39.78081597,56.6796875
macOS-14.2.1-arm64-arm-64bit,1,1024,0.006407777,0.002742716,0.000105877,0.007230095,0.002828588,9.83919E-05,39.77607686,39.67884291,39.67894848
macOS-14.2.1-arm64-arm-64bit,1,10240,0.006405837,0.002666502,0.000245509,0.007225377,0.002937637,0.000246288,39.72153253,39.70986729,39.7536387
macOS-14.2.1-arm64-arm-64bit,1,102400,0.006353896,0.003087997,0.00286165,0.007119455,0.003370608,0.002940923,39.84812063,40.17733829,40.50983392
macOS-14.2.1-arm64-arm-64bit,1,1048576,0.006487105,0.002562402,0.037102449,0.007152741,0.002853364,0.037340657,39.71853147,39.8715035,56.45902535
macOS-14.2.1-arm64-arm-64bit,2,1024,0.006902929,0.002974712,0.001308733,0.007307193,0.002594933,0.0014576,39.64333333,39.6715625,39.575
macOS-14.2.1-arm64-arm-64bit,2,10240,0.006376381,0.002476519,0.0015257,0.007077766,0.002495779,0.001749655,39.50743534,39.54299569,39.57047414
macOS-14.2.1-arm64-arm-64bit,2,102400,0.006291506,0.002441667,0.004609138,0.0070413,0.002481967,0.00483948,39.30489583,39.34791667,40.01885417
macOS-14.2.1-arm64-arm-64bit,2,1048576,0.006363395,0.002463189,0.03862059,0.007111607,0.0025057,0.039305567,39.44458333,39.475625,56.189375
